95.1,197.4,
125.2,248.1,
135.3,264.7,
134.8,261.8,
135.8,266.2,
135.9,263.3,
136.0,260.7,
136.6,261.2,
137.3,260.3,
137.7,262.5,
138.6,260.7,
140.2,261.4,
141.6,265.2,
142.0,264.5,
85.0,170.2,
100.9,192.7,
108.4,202.3,
111.9,208.9,
115.8,213.7,
117.1,211.3,
118.3,215.7,
119.6,216.5,
120.4,220.1,
120.7,222.2,
121.4,225.0,
121.5,226.3,
122.1,226.6,
122.7,227.9,
29.0,71.3,
30.0,64.7,
34.1,71.2,
36.2,72.9,
39.3,73.1,
40.4,75.7,
40.1,74.5,
40.1,74.4,
39.7,72.4,
39.7,71.8,
39.1,71.0,
38.6,69.9,
38.1,68.7,
37.2,67.2,
21.8,36.1,
23.2,42.2,
24.3,44.4,
25.0,47.2,
25.3,46.3,
25.0,46.6,
25.7,47.0,
26.5,49.6,
26.9,49.1,
27.4,50.4,
27.9,51.3,
28.4,52.3,
28.7,53.5,
28.7,53.9,
22.0,38.1,
26.5,48.4,
28.1,50.2,
28.3,55.5,
28.6,58.1,
28.5,57.1,
28.3,55.3,
29.1,55.7,
28.9,54.6,
28.2,53.6,
28.8,53.5,
28.8,54.1,
28.5,53.4,
27.9,53.2,
22.1,41.0,
26.4,46.8,
29.7,54.3,
30.7,55.8,
30.6,55.2,
30.9,54.6,
31.1,56.4,
31.6,57.0,
32.2,59.1,
33.2,62.0,
33.5,62.0,
34.1,65.4,
34.4,65.9,
34.9,67.0,
33.8,78.7,
40.7,81.6,
41.6,81.9,
42.3,82.8,
43.1,83.3,
44.9,84.2,
44.9,85.2,
44.8,85.6,
43.8,84.7,
43.0,82.8,
42.1,81.1,
41.6,81.2,
41.3,80.5,
40.6,78.3,
29.1,58.2,
32.2,65.4,
33.6,70.2,
34.9,69.6,
34.7,69.4,
34.7,67.4,
34.6,65.7,
34.7,65.4,
34.9,66.5,
34.2,65.7,
33.8,65.0,
34.0,65.5,
33.8,64.8,
33.8,64.3,
20.8,39.7,
24.8,47.8,
27.3,49.4,
25.8,46.1,
25.7,45.7,
25.3,46.5,
25.8,48.2,
26.1,47.9,
26.5,47.8,
26.5,47.8,
26.8,49.5,
26.7,49.7,
26.9,49.9,
26.8,51.0,
10.3,15.5,
14.0,23.7,
13.9,22.8,
13.2,22.1,
12.9,21.3,
13.7,23.4,
14.1,25.7,
14.4,25.5,
14.8,26.6,
15.5,28.1,
16.0,29.7,
16.3,30.6,
16.2,30.4,
16.4,30.2,
5.8,7.5,
8.4,14.2,
9.8,16.8,
9.8,16.8,
9.9,16.4,
10.0,16.4,
10.3,16.7,
10.6,18.9,
10.9,19.5,
10.6,19.1,
10.7,19.5,
10.7,19.6,
10.7,19.6,
11.0,20.0,
6.8,9.1,
8.0,11.1,
8.7,13.0,
9.6,14.6,
10.2,15.2,
10.2,16.8,
10.4,17.9,
10.9,18.8,
10.8,19.2,
10.6,19.4,
11.0,19.9,
10.9,20.2,
10.9,20.1,
10.8,20.2,
9.8,17.2,
10.4,19.3,
12.1,21.6,
12.7,21.0,
12.0,19.8,
12.0,19.6,
11.9,19.8,
11.6,19.5,
11.2,18.5,
11.0,18.3,
11.0,18.1,
10.8,17.8,
10.8,17.8,
10.8,18.2,
3.9,4.3,
6.0,12.7,
7.4,13.5,
7.9,12.9,
7.8,12.8,
7.2,13.0,
7.2,13.0,
6.9,12.3,
7.0,12.1,
7.1,11.9,
7.5,13.0,
7.5,13.3,
7.6,13.5,
7.7,14.1,
6.5,9.7,
8.5,13.3,
8.1,13.4,
7.6,12.1,
8.5,13.8,
8.3,13.9,
8.6,14.6,
8.4,15.1,
8.1,14.3,
8.0,13.9,
8.0,13.4,
8.0,13.7,
8.0,13.9,
8.0,14.3,
6.0,6.7,
6.3,10.5,
6.3,10.5,
5.7,8.9,
5.6,8.6,
6.0,10.3,
6.0,9.8,
6.1,11.5,
6.1,11.7,
6.2,11.5,
6.2,11.1,
6.2,11.1,
6.1,10.8,
6.1,11.5,
2.8,3.1,
2.8,3.0,
3.2,4.3,
3.7,5.4,
3.6,5.4,
3.7,5.3,
3.9,6.2,
4.1,6.7,
4.3,6.9,
4.4,6.8,
4.4,7.2,
4.6,7.1,
4.7,7.3,
4.8,7.9,
1.5,2.2,
2.0,4.8,
2.8,4.9,
2.6,4.0,
3.0,5.0,
3.2,5.4,
3.1,5.0,
2.9,4.6,
2.9,4.5,
3.0,4.6,
3.0,5.8,
3.2,6.2,
3.3,6.2,
3.4,7.2,
1.4,1.5,
2.5,2.9,
2.5,2.8
